team_name,player_name,player_batLR,opponents,pitcherLR,runners,strikes,pitch_course,pitch_type,pitch_height,hit_type,x_coord,y_coord
同志社大学.csv,堀内太陽,右,京大以外,左,1塁,1,外,ストレート,低め,ライナー,513,270
同志社大学.csv,牧原優太,左,京大以外,左,得点圏,0,外,スライダー,低め,フライ,55,363
同志社大学.csv,牧原優太,左,京大以外,左,得点圏,1,真中,スライダー,低め,ライナー,211,269
同志社大学.csv,知念大河,右,京大以外,左,得点圏,0,外,チェンジアップ,真中,ライナー,176,323
近畿大学.csv,小林青空,左,京大以外,右,なし,1,内,ストレート,高め,ゴロ,268,640
近畿大学.csv,小林青空,左,京大以外,右,なし,2,内,チェンジアップ,真中,ゴロ,589,559
近畿大学.csv,小林青空,左,京大以外,右,なし,2,外,スライダー,低め,ゴロ,462,461
近畿大学.csv,谷本颯太,左,京大以外,右,なし,0,真中,ストレート,高め,ライナー,278,718
近畿大学.csv,谷本颯太,左,京大以外,右,なし,1,真中,ストレート,真中,フライ,373,167
近畿大学.csv,久保尊,左,京大以外,右,1塁,0,真中,ストレート,高め,フライ,579,263
同志社大学.csv,北田陸斗,左,京大以外,右,なし,0,真中,ストレート,真中,ゴロ,484,634
同志社大学.csv,北田陸斗,左,京大以外,右,なし,1,真中,スライダー,低め,ライナー,246,263
同志社大学.csv,齊藤佑征,左,京大以外,右,1塁,2,真中,スライダー,低め,ゴロ,489,628
同志社大学.csv,齊藤佑征,左,京大以外,右,1塁,2,外,スライダー,真中,ゴロ,497,584
同志社大学.csv,齊藤佑征,左,京大以外,右,1塁,2,外,ストレート,真中,ゴロ,328,358
同志社大学.csv,辻井心,右,京大以外,右,なし,0,外,ストレート,低め,ゴロ,427,329
近畿大学.csv,三木太介,右,京大以外,右,なし,0,外,ストレート,真中,フライ,730,420
近畿大学.csv,三木太介,右,京大以外,右,なし,1,外,チェンジアップ,真中,ゴロ,334,330
近畿大学.csv,伊藤愛都,左,京大以外,右,なし,1,真中,チェンジアップ,真中,フライ,520,177
近畿大学.csv,阪上翔也,左,京大以外,右,なし,2,外,チェンジアップ,真中,ライナー,426,223
同志社大学.csv,中田爽太,左,京大以外,右,なし,1,真中,ストレート,真中,ゴロ,334,327
同志社大学.csv,大井海音,左,京大以外,右,なし,0,内,ストレート,高め,ライナー,97,490
同志社大学.csv,大井海音,左,京大以外,右,なし,2,内,ストレート,真中,ゴロ,337,318
近畿大学.csv,永井士航,左,京大以外,右,なし,1,真中,ストレート,真中,フライ,15,387
近畿大学.csv,永井士航,左,京大以外,右,なし,2,真中,ストレート,低め,フライ,292,726
近畿大学.csv,永井士航,左,京大以外,右,なし,2,真中,ストレート,真中,ライナー,301,705
近畿大学.csv,永井士航,左,京大以外,右,なし,2,真中,ストレート,真中,フライ,90,606
近畿大学.csv,永井士航,左,京大以外,右,なし,2,内,ストレート,低め,ゴロ,458,334
近畿大学.csv,菅真大,左,京大以外,右,なし,0,真中,ストレート,真中,ライナー,462,340
同志社大学.csv,堀内太陽,右,京大以外,左,なし,0,真中,チェンジアップ,低め,ゴロ,19,355
同志社大学.csv,知念大河,右,京大以外,左,1塁,2,外,ストレート,低め,ゴロ,401,696
同志社大学.csv,中森暁大,右,京大以外,左,1塁,2,外,ストレート,真中,フライ,511,274
近畿大学.csv,谷本颯太,左,京大以外,右,なし,1,外,ストレート,低め,ゴロ,448,341
近畿大学.csv,勝田成,左,京大以外,右,なし,0,真中,ストレート,真中,フライ,20,396
近畿大学.csv,勝田成,左,京大以外,右,なし,1,真中,ストレート,真中,ゴロ,187,482
近畿大学.csv,勝田成,左,京大以外,右,なし,2,真中,ストレート,高め,ライナー,30,438
近畿大学.csv,勝田成,左,京大以外,右,なし,2,外,ストレート,高め,ゴロ,173,640
近畿大学.csv,勝田成,左,京大以外,右,なし,2,外,ストレート,真中,ライナー,234,712
近畿大学.csv,三木太介,右,京大以外,右,1塁,1,外,ストレート,真中,フライ,462,737
近畿大学.csv,大西賢作,左,京大以外,右,得点圏,2,真中,スライダー,低め,フライ,167,646
近畿大学.csv,大西賢作,左,京大以外,右,得点圏,2,外,スライダー,低め,ライナー,174,295
関西大学.csv,渡邊貫太,左,京大以外,左,なし,0,真中,ストレート,低め,ゴロ,570,303
関西大学.csv,余河航太,左,京大以外,左,1塁,0,内,ストレート,低め,ゴロ,424,368
関西大学.csv,小谷太誠,左,京大以外,左,なし,1,内,カーブ,低め,ゴロ,628,490
近畿大学.csv,谷本颯太,左,京大以外,右,なし,1,外,ストレート,低め,ゴロ,407,526
近畿大学.csv,勝田成,左,京大以外,右,なし,2,内,ストレート,真中,ゴロ,543,437
近畿大学.csv,久保尊,左,京大以外,右,なし,0,内,スライダー,真中,フライ,330,743
近畿大学.csv,久保尊,左,京大以外,右,なし,2,内,フォーク,低め,ゴロ,370,665
関西大学.csv,下井田悠人,左,京大以外,左,なし,1,内,ストレート,高め,ライナー,288,231
関西大学.csv,中村莞爾,左,京大以外,左,得点圏,2,内,ストレート,高め,ゴロ,310,344
関西大学.csv,金森洸喜,左,京大以外,左,得点圏,0,内,ストレート,高め,フライ,330,728
関西大学.csv,金森洸喜,左,京大以外,左,得点圏,1,内,ストレート,高め,フライ,537,300
関西大学.csv,宮本青空,左,京大以外,左,得点圏,0,真中,ストレート,真中,ゴロ,570,296
関西大学.csv,小村和大,右,京大以外,左,得点圏,1,真中,ストレート,低め,ゴロ,473,349
近畿大学.csv,阪上翔也,左,京大以外,右,なし,0,内,スライダー,低め,ゴロ,276,454
近畿大学.csv,三木太介,右,京大以外,右,なし,0,真中,ストレート,高め,ゴロ,232,421
近畿大学.csv,山﨑帆大,右,京大以外,右,なし,1,外,ストレート,高め,ゴロ,470,546
関西大学.csv,渡邊貫太,左,京大以外,右,1塁,0,外,ストレート,真中,ライナー,8,368
関西大学.csv,渡邊貫太,左,京大以外,右,1塁,2,真中,スライダー,低め,フライ,531,186
関西大学.csv,余河航太,左,京大以外,右,1塁,0,真中,ストレート,高め,フライ,310,739
関西大学.csv,余河航太,左,京大以外,右,1塁,2,真中,スライダー,高め,ゴロ,165,643
関西大学.csv,余河航太,左,京大以外,右,1塁,2,外,ストレート,高め,ゴロ,427,355
近畿大学.csv,谷本颯太,左,京大以外,左,なし,1,内,フォーク,真中,ゴロ,272,354
近畿大学.csv,勝田成,左,京大以外,左,なし,0,外,ストレート,高め,ライナー,323,713
近畿大学.csv,勝田成,左,京大以外,左,なし,1,真中,ストレート,高め,フライ,245,199
近畿大学.csv,野間翔一郎,左,京大以外,左,なし,1,内,フォーク,真中,ライナー,362,243
近畿大学.csv,阪上翔也,左,京大以外,左,得点圏,2,真中,フォーク,真中,ゴロ,583,472
近畿大学.csv,阪上翔也,左,京大以外,左,得点圏,2,外,ストレート,高め,ライナー,148,647
近畿大学.csv,阪上翔也,左,京大以外,左,得点圏,2,外,スライダー,低め,ゴロ,462,345
関西大学.csv,渡邊貫太,左,京大以外,左,なし,0,内,ストレート,低め,ゴロ,612,629
関西大学.csv,渡邊貫太,左,京大以外,左,なし,0,真中,ストレート,真中,ゴロ,256,425
関西大学.csv,余河航太,左,京大以外,左,なし,2,内,ストレート,真中,ゴロ,291,403
関西大学.csv,小谷太誠,左,京大以外,左,なし,0,真中,カーブ,真中,ゴロ,511,422
近畿大学.csv,三木太介,右,京大以外,左,なし,0,真中,スライダー,真中,ゴロ,404,335
近畿大学.csv,米崎薫暉,右,京大以外,左,なし,1,真中,ストレート,高め,フライ,502,281
関西大学.csv,中村莞爾,左,京大以外,左,なし,1,真中,ストレート,真中,ゴロ,299,346
関西大学.csv,宮本青空,左,京大以外,左,なし,1,真中,ストレート,高め,フライ,107,606
関西大学.csv,宮本青空,左,京大以外,左,なし,2,真中,ストレート,真中,ゴロ,478,352
関西大学.csv,小村和大,右,京大以外,左,なし,0,内,ストレート,真中,ライナー,96,550
関西大学.csv,小村和大,右,京大以外,左,なし,1,真中,ストレート,高め,フライ,727,294
近畿大学.csv,勝田成,左,京大以外,左,なし,2,真中,スライダー,真中,ライナー,75,344
近畿大学.csv,勝田成,左,京大以外,左,なし,2,真中,ストレート,高め,ライナー,109,313
近畿大学.csv,阪上翔也,左,京大以外,左,得点圏,0,真中,スライダー,高め,フライ,642,180
近畿大学.csv,三木太介,右,京大以外,左,得点圏,1,内,スライダー,真中,ライナー,462,238
近畿大学.csv,谷本颯太,左,京大以外,左,得点圏,0,内,ストレート,真中,ゴロ,547,284
近畿大学.csv,勝田成,左,京大以外,左,得点圏,2,外,ストレート,真中,フライ,88,504
近畿大学.csv,勝田成,左,京大以外,左,得点圏,2,外,スライダー,高め,ゴロ,354,500
関西大学.csv,余河航太,左,京大以外,左,なし,0,内,ストレート,低め,ゴロ,374,651
関西大学.csv,余河航太,左,京大以外,左,なし,0,内,ストレート,低め,ゴロ,476,347
近畿大学.csv,野間翔一郎,左,京大以外,左,なし,1,内,ストレート,真中,ライナー,525,427
近畿大学.csv,阪上翔也,左,京大以外,左,なし,1,真中,スライダー,低め,ライナー,439,122
近畿大学.csv,三木太介,右,京大以外,左,得点圏,0,真中,ストレート,真中,ライナー,4,293
近畿大学.csv,三木太介,右,京大以外,左,得点圏,1,外,フォーク,真中,ゴロ,459,356
近畿大学.csv,米崎薫暉,右,京大以外,左,得点圏,1,真中,ストレート,低め,ゴロ,225,285
近畿大学.csv,八幡大介,左,京大以外,左,得点圏,2,内,スライダー,低め,ライナー,185,699
関西大学.csv,下井田悠人,左,京大以外,左,なし,1,外,ストレート,真中,ライナー,101,537
関西大学.csv,中村莞爾,左,京大以外,左,なし,1,内,ストレート,高め,フライ,353,249
関西大学.csv,金森洸喜,左,京大以外,左,なし,0,外,ストレート,高め,ゴロ,343,318
近畿大学.csv,岸本紘一,右,京大以外,左,なし,1,真中,ストレート,高め,フライ,450,331
近畿大学.csv,谷本颯太,左,京大以外,左,1塁,1,真中,ストレート,真中,ゴロ,418,237
近畿大学.csv,勝田成,左,京大以外,左,得点圏,0,真中,スライダー,真中,ライナー,724,421
近畿大学.csv,勝田成,左,京大以外,左,得点圏,1,内,フォーク,高め,ゴロ,647,549
近畿大学.csv,勝田成,左,京大以外,左,得点圏,2,真中,スライダー,高め,フライ,99,540
近畿大学.csv,勝田成,左,京大以外,左,得点圏,2,真中,フォーク,真中,ゴロ,604,644
近畿大学.csv,勝田成,左,京大以外,左,得点圏,2,内,ストレート,高め,ゴロ,556,452
近畿大学.csv,勝田成,左,京大以外,左,得点圏,2,内,フォーク,低め,ゴロ,615,591
近畿大学.csv,勝田成,左,京大以外,左,得点圏,2,内,ストレート,真中,フライ,623,187
関西大学.csv,宮本青空,左,京大以外,左,なし,1,真中,ストレート,高め,フライ,21,390
関西大学.csv,小村和大,右,京大以外,左,なし,2,真中,ストレート,低め,ゴロ,197,650
関西大学.csv,小村和大,右,京大以外,左,なし,2,真中,ストレート,真中,フライ,480,174
関西大学.csv,鹿熊大誠,右,京大以外,左,なし,2,真中,ストレート,真中,フライ,400,114
近畿大学.csv,阪上翔也,左,京大以外,右,なし,1,外,ストレート,高め,フライ,6,350
近畿大学.csv,八幡大介,左,京大以外,右,得点圏,1,内,ストレート,高め,ゴロ,497,469
近畿大学.csv,谷本颯太,左,京大以外,右,なし,1,真中,ストレート,低め,ライナー,520,271
近畿大学.csv,勝田成,左,京大以外,右,なし,2,外,ストレート,低め,フライ,242,152
